"PROJANO";"NUMSEN";"ORGAO";"ORIGEM";"TIPOLEI";"DATAORIG";"DATAULT";"ULTACAO";"TNJR";"VETO";"NUMLEI";"EMENTA"
"MPV0328/06";"MPV0328/06";"EF";2,00;1;3/11/2006 00:00:00;27/2/2007 00:00:00;"TNJR";"SUE";"PM";11452;"Dispõe sobre a prestação de auxílio financeiro pela União aos Estados e aos Municípios, no exercício de 2006, com o objetivo de fomentar as exportações do País."
"MPV0329/06";"MPV0329/06";"EF";2,00;1;3/11/2006 00:00:00;19/3/2007 00:00:00;"TNJR";"SUB";"NA";11458;"Autoriza o Ministério da Defesa a efetuar contratação de pessoal, por prazo determinado, imprescindível ao controle do tráfego aéreo. Contratação de Técnico de Defesa e Controle do Tráfego Aéreo e Controlador de Tráfego Aéreo do Grupo Defesa Aérea e Controle do Tráfego Aéreo do Comando da Aeronáutica, cujo contrato vigorará até 31 de dezembro de 2007."
"MPV0330/06";"MPV0330/06";"EF";2,00;1;10/11/2006 00:00:00;28/2/2007 00:00:00;"TNJR";"PRO";"NA";11454;"Abre crédito extraordinário ao Orçamento de Investimentos para 2006, em favor de empresas do Grupo ELETROBRÁS, no valor total de R$ 106.726.769,00 para os fins que especifica. Investimentos em geração e transmissão de energia"
"MPV0331/06";"MPV0331/06";"EF";2,00;1;5/12/2006 00:00:00;8/3/2007 00:00:00;"TNJR";"PRO";"NA";11455;"Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$ 70.000.000,00, para os fins que especifica. "
"MPV0332/06";"MPV0332/06";"EF";2,00;1;8/12/2006 00:00:00;8/3/2007 00:00:00;"TNJR";"PRO";"NA";11456;"Abre crédito extraordinário, em favor dos Ministérios da Previdência Social, do Trabalho e Emprego e do Desenvolvimento Social e Combate à Fome, no valor global de R$ 9.746.438.066,00, para os fins que especifica "
"MPV0333/06";"MPV0333/06";"EF";2,00;1;15/12/2006 00:00:00;28/3/2007 00:00:00;"TNJR";"PRO";"NA";11461;"Abre crédito extraordinário, em favor da Presidência da República e dos Ministérios da Fazenda, da Educação, do Desenvolvimento, Indústria e Comércio Exterior, da Justiça, da Previdência Social, da Saúde, do Planejamento, Orçamento e Gestão, da Defesa e da Integração Nacional, no valor global de R$ 690.987.595,00, para os fins que especifica. "
"MPV0334/06";"MPV0334/06";"EF";2,00;1;20/12/2006 00:00:00;28/3/2007 00:00:00;"TNJR";"PRO";"NA";11462;"Autoriza a Superintendência da Zona Franca de Manaus - SUFRAMA a efetuar doação de área ao Governo do Estado do Amazonas, objeto de ocupação, localizada na Área de Expansão do Distrito Industrial, para atender ao interesse público e social. Área correspondente à ocupação urbana denominada Nova Vitória."
"MPV0335/06";"MPV0335/06";"EF";2,00;1;26/12/2006 00:00:00;31/5/2007 00:00:00;"TNJR";"SUB";"PM";11481;"Dá nova redação a dispositivos das Leis nº 9.636, de 15 de maio de 1998, 8.666, de 21 de junho de 1993, 11.124, de 16 de junho de 2005, e dos Decretos-Leis nº9.760, de 5 de setembro de 1946, 271, de 28 de fevereiro de 1967, e 1.876, de 15 de julho de 1981, prevê medidas voltadas à regularização fundiária de interesse social em imóveis da União e dá outras providências. (GOVERNO LULA). (PROGRAMA DE ACELERAÇÃO DO CRESCIMENTO - PAC)."
"MPV0336/06";"MPV0336/06";"EF";2,00;1;27/12/2006 00:00:00;28/3/2007 00:00:00;"TNJR";"PRO";"NA";11463;"Abre crédito extraordinário, em favor da Presidência da República e dos Ministérios de Minas e Energia, dos Transportes, do Esporte, da Integração Nacional e das Cidades, no valor global de R$ 385.263.657,00, para os fins que especifica."
"MPV0337/06";"MPV0337/06";"EF";2,00;1;28/12/2006 00:00:00;19/4/2007 00:00:00;"TNJR";"PRO";"NA";11470;"Abre crédito extraordinário, em favor dos Ministérios da Educação, da Saúde, dos Transportes e das Cidades, no valor de R$ 506.528.000,00, para os fins que especifica. Abertura de crédito, Crédito Extraordinário, Ministério da Educação, Ministério da Saúde, Ministério dos Transportes, Ministério das Cidades."
"MPV0338/06";"MPV0338/06";"EF";2,00;1;28/12/2006 00:00:00;31/5/2007 00:00:00;"SEFI";"NA";"NA";-1;"Abre crédito extraordinário ao Orçamento de Investimento para 2006, em favor de diversas empresas estatais, no valor total de R$ 7.457.585.977,00, e reduz o Orçamento de Investimento de diversas empresas no valor global de R$ 8.808.952.888,00, para os fins que especifica."
"MPV0405/07";"MPV0405/07";"EF";2,00;1;18/12/2007 00:00:00;18/4/2008 00:00:00;"TNJR";"PRO";"NA";11658;"Abre crédito extraordinário, em favor da Justiça Eleitoral e de diversos órgãos do Poder Executivo, no valor global de R$ 5.455.677.660,00, para os fins que especifica."
"MPV0406/07";"MPV0406/07";"EF";2,00;1;21/12/2007 00:00:00;18/4/2008 00:00:00;"TNJR";"PRO";"NA";11659;"Abre crédito extraordinário, em favor de diversos órgãos do Poder Executivo, no valor global de R$ 1.250.733.499,00, para os fins que especifica."
"MPV0407/07";"MPV0407/07";"EF";2,00;1;27/12/2007 00:00:00;24/4/2008 00:00:00;"TNJR";"PRO";"NA";11661;"Autoriza, em caráter excepcional, a prorrogação de contratos temporários no âmbito de projetos de cooperação com prazo determinado, implementados mediante acordos com organismos internacionais, altera as Leis nºs 10.480, de 2 de julho de 2002, prorrogando o prazo de recebimento de gratificações pelos servidores ou empregados requisitados pela Advocacia-Geral da União, 11.171, de 2 de setembro de 2005, e 11.233, de 22 de dezembro de 2005, prorrogando o prazo de manutenção de Funções Comissionadas Técnicas no DNIT e no Ministério da Cultura, respectivamente, e 11.539, de 8 de novembro de 2007, no tocante à Carreira de Analista de Infra-Estrutura."
"MPV0408/07";"MPV0408/07";"EF";2,00;1;27/12/2007 00:00:00;8/5/2008 00:00:00;"TNJR";"PRO";"NA";11669;"Abre crédito extraordinário, em favor de diversos órgãos do Poder Executivo, no valor global de R$ 3.015.446.182,00, para os fins que especifica."
"MPV0409/07";"MPV0409/07";"EF";2,00;1;28/12/2007 00:00:00;8/5/2008 00:00:00;"TNJR";"PRO";"NA";11670;"Abre crédito extraordinário, em favor de diversos órgãos do Poder Executivo, no valor global de R$ 750.465.000,00, para os fins que especifica."
"MPV0410/07";"MPV0410/07";"EF";2,00;1;28/12/2007 00:00:00;20/6/2008 00:00:00;"TNJR";"SUE";"PM";11718;"Acrescenta artigo à Lei nº 5.889, de 8 de junho de 1973, criando o contrato de trabalhador rural por pequeno prazo, estabelece normas transitórias sobre a aposentadoria do trabalhador rural e prorroga o prazo de contratação de financiamentos rurais de que trata o § 6º do art. 1º da Lei nº 11.524, de 24 de setembro de 2007. Prorroga o prazo para liquidação de dívidas contraídas por produtores rurais ou suas cooperativas com fornecedores de insumos agropecuários."
"MPV0411/07";"MPV0411/07";"EF";2,00;1;28/12/2007 00:00:00;10/6/2008 00:00:00;"TNJR";"SUB";"NA";11692;"Dispõe sobre o Programa Nacional de Inclusão de Jovens - ProJovem, instituído pela Lei nº 11.129, de 30 de junho de 2005, altera a Lei nº 10.836, de 9 de janeiro de 2004, e dá outras providências. Destina-se aos jovens entre quinze e vinte e nove anos e será desenvolvido por meio das seguintes modalidades: ProJovem Adolescente - Serviço Socioeducativo; ProJovem Urbano; ProJovem Campo - Saberes da Terra e Projovem Trabalhador; autoriza a concessão de auxílio financeiro aos beneficiários no valor de cem reais. Revoga a Lei nº 10.748, de 2003."
"MPV0412/07";"MPV0412/07";"EF";2,00;1;31/12/2007 00:00:00;23/6/2008 00:00:00;"TNJR";"SUB";"PM";11726;"Dispõe sobre a prorrogação do Regime Tributário para Incentivo à Modernização e à Ampliação da Estrutura Portuária - REPORTO, instituído pela Lei no 11.033, de 21 de dezembro de 2004 . Prorroga até 31 de dezembro de 2010."
"MPV0413/08";"MPV0413/08";"EF";2,00;1;3/1/2008 00:00:00;23/6/2008 00:00:00;"TNJR";"SUB";"PM";11727;"Dispõe sobre medidas tributárias destinadas a estimular os investimentos e a modernização do setor de turismo, a reforçar o sistema de proteção tarifária brasileiro, a estabelecer a incidência de forma concentrada da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social - COFINS na produção e comercialização de álcool, altera o art. 3º da Lei nº 7.689, de 15 de dezembro de 1988, e dá outras providências. Aumenta para 15% (quinze por cento) a alíquota da Contribuição Social sobre o Lucro Líquido (CSLL) das pessoas jurídicas de seguros privados, capitalização e instituições financeiras e para 9% (nove por cento) das demais pessoas jurídicas. Altera as Leis nºs 10.865, de 2004; 11.488, de 2007; 9.718, de 1998; 11.196, de 2005; 10.637, de 2002 e 10.833, de 2003."
"MPV0414/08";"MPV0414/08";"EF";2,00;1;7/1/2008 00:00:00;4/6/2008 00:00:00;"TNJR";"PRO";"NA";11688;"Constitui fonte de recursos adicional para ampliação de limites operacionais do Banco Nacional de Desenvolvimento Econômico e Social - BNDES."
"MPV0415/08";"MPV0415/08";"EF";2,00;1;22/1/2008 00:00:00;16/6/2008 00:00:00;"TNJR";"SUE";"PM";11705;"Proíbe a comercialização de bebidas alcoólicas em rodovias federais e acresce dispositivo à Lei nº 9.503, de 23 de setembro de 1997 - Código de Trânsito Brasileiro. NOVA EMENTA: Altera a Lei nº 9.503, de 23 de setembro de 1997, que 'institui o Código de Trânsito Brasileiro', e a Lei nº 9.294, de 15 de julho de 1996, que dispõe sobre as restrições ao uso e à propaganda de produtos fumígeros, bebidas alcoólicas, medicamentos, terapias e defensivos agrícolas, nos termos do § 4º do art. 220 da Constituição Federal, para inibir o consumo de bebida alcoólica por condutor de veículo automotor, e dá outras providências. Proíbe a venda de bebida alcóolica nas BRs - rodovia federal. Define como bebida alcoólica a que tem em sua composição álcool com teor de concentração igual ou acima de meio grau Gay-Lussac (GL). ""Lei da Tolerância Zero"" ou ""Lei Seca"". Inclui no CONTRAN um representante do Ministério da Justiça."
"MPV0416/08";"MPV0416/08";"EF";2,00;1;24/1/2008 00:00:00;19/6/2008 00:00:00;"TNJR";"SUB";"PM";11707;"Altera a Lei nº 11.530, de 24 de outubro de 2007, que institui o Programa Nacional de Segurança Pública com Cidadania - PRONASCI, e dá outras providências. Reduz o limite de idade do jovem atendido pelo Pronasci para 24 (vinte e quatro anos). Institui os Projetos: Reservista-Cidadão, Proteção de Jovens e Adolescentes em Território Vulnerável (PROTEJO), Mulheres da Paz e Comunicação Cidadã Preventiva, Bolsa-Formação, concedendo auxílio financeiro aos participantes. (PAC da Segurança)."
"MPV0417/08";"MPV0417/08";"EF";2,00;1;1/2/2008 00:00:00;19/6/2008 00:00:00;"TNJR";"SUB";"PM";11706;"Altera e acresce dispositivos à Lei nº 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm e define crimes.  Prorroga até 31 de dezembro de 2008 o prazo para renovação de registro de propriedade de arma de fogo."
"MPV0418/08";"MPV0418/08";"EF";2,00;1;15/2/2008 00:00:00;30/6/2008 00:00:00;"TNJR";"SUB";"PM";11732;"Altera as Leis nºs 11.508, de 20 de julho de 2007, que dispõe sobre o regime tributário, cambial e administrativo das Zonas de Processamento de Exportação, e 8.256, de 25 de novembro de 1991, que cria áreas de livre comércio nos municípios de Pacaraima e Bonfim, no Estado de Roraima, e dá outras providências. Revoga o art. 24 da Lei nº 11.508, de 2007; define licitação internacional interpretando o art. 5º da Lei nº 8.032, de 1990; estabelece que a Área de Livre Comércio de Pacaraima passa a denominar-se Área de Livre Comércio de Boa Vista e fixa a cobrança de Taxa de Serviço Administrativo pela SUFRAMA. Propõe incentivo regional para empresas instaladas em ZPEs."
"MPV0419/08";"MPV0419/08";"EF";2,00;1;20/2/2008 00:00:00;11/6/2008 00:00:00;"TNJR";"PRO";"NA";11693;"Altera as Leis nºs 10.683, de 28 de maio de 2003, e 10.678, de 23 de maio de 2003, transformando o cargo de Secretário Especial de Políticas de Promoção da Igualdade Racial em Ministro de Estado Chefe da Secretaria Especial de Políticas de Promoção da Igualdade Racial."
"MPV0420/08";"MPV0420/08";"EF";2,00;1;26/2/2008 00:00:00;19/6/2008 00:00:00;"TNJR";"PRO";"NA";11708;"Abre crédito extraordinário, em favor de Encargos Financeiros da União, no valor de R$ 12.500.000.000,00, para o fim que especifica."
"MPV0421/08";"MPV0421/08";"EF";2,00;1;29/2/2008 00:00:00;19/6/2008 00:00:00;"TNJR";"PRO";"NA";11709;"Dispõe sobre o salário mínimo a partir de 1° de março de 2008. Reajusta o salário mínimo para R$ 415,00 (quatrocentos e quinze reais)."
"MPV0422/08";"MPV0422/08";"EF";2,00;1;26/3/2008 00:00:00;1/8/2008 00:00:00;"TNJR";"SUB";"PM";11763;"Dá nova redação ao inciso II do § 2º-B do art. 17 da Lei nº 8.666, de 21 de junho de 1993, que regulamenta o art. 37, inciso XXI, da Constituição e institui normas para licitações e contratos da administração pública. NOVA REDAÇÃO: Dá nova redação ao § 2º-B do art. 17 da Lei nº 8.666, de 21 de junho de 1993, que regulamenta o inciso XXI do caput do art. 37 da Constituição Federal e institui normas para licitações e contratos da administração pública. Aumenta para até 15 (quinze) módulos fiscais a área rural da União, localizada na Amazônia Legal, passível de regularização, mediante a concessão de título de propriedade ou de direito real de uso, dispensada de licitação."
"MPV0423/08";"MPV0423/08";"EF";2,00;1;4/4/2008 00:00:00;19/6/2008 00:00:00;"TNJR";"PRO";"NA";11710;"Abre crédito extraordinário, em favor dos Ministérios dos Transportes e da Integração Nacional, no valor global de R$ 613.752.057,00, para os fins que especifica."
"MPV0424/08";"MPV0424/08";"EF";2,00;1;17/4/2008 00:00:00;10/7/2008 00:00:00;"TNJR";"PRO";"NA";11735;"Abre crédito extraordinário, em favor de diversos órgãos do Poder Executivo, no valor global de R$ 1.816.577.877,00, para os fins que especifica."
"MPV0425/08";"MPV0425/08";"EF";2,00;1;30/4/2008 00:00:00;11/7/2008 00:00:00;"RJTD";"NA";"NA";-1;"Altera os arts. 18 e 19 da Medida Provisória nº 413, de 3 de janeiro de 2008, para postegar a aplicação das disposições relativas à incidência da Contribuição para o PIS/PASEP e da COFINS sobre as receitas auferidas na venda de álcool."
"MPV0426/08";"MPV0426/08";"EF";2,00;1;9/5/2008 00:00:00;28/7/2008 00:00:00;"TNJR";"SUE";"PS";11757;"Altera o Anexo I da Lei nº 11.134, de 15 de julho de 2005, para aumentar o valor da Vantagem Pecuniária Especial - VPE, devida aos militares da Polícia Militar do Distrito Federal e do Corpo de Bombeiros Militar do Distrito Federal."
"MPV0493/10";"MPV0493/10";"EF";2,00;1;19/7/2010 00:00:00;12/11/2010 00:00:00;"TNJR";"PRO";"NA";12337;"Altera o Anexo I da Lei nº 11.440, de 29 de dezembro de 2006, para modificar a divisão por níveis da Carreira de Diplomata, extingue cargos de Assistente de Chancelaria e autoriza a prorrogação de contratos por tempo determinado."
"MPV0494/10";"MPV0494/10";"EF";2,00;1;19/7/2010 00:00:00;9/12/2010 00:00:00;"TNJR";"SUB";"NA";12340;"Dispõe sobre o Sistema Nacional de Defesa Civil - SINDEC, sobre as transferências de recursos para ações de socorro, assistência às vítimas, restabelecimento de serviços essenciais e reconstrução nas áreas atingidas por desastre, sobre o Fundo Especial para Calamidades Públicas, e dá outras providências. Altera as Leis nº 9.077, de 1995; nº 11.775, de 2008 e revoga o Decreto-Lei nº 950, de 1969."
"MPV0495/10";"MPV0495/10";"EF";2,00;1;20/7/2010 00:00:00;22/12/2010 00:00:00;"TNJR";"SUB";"NA";12349;"Altera as Leis nºs 8.666, de 21 de junho de 1993, 8.958, de 20 de dezembro de 1994, e 10.973, de 2 de dezembro de 2004, e revoga o § 1º do art. 2º da Lei nº 11.273, de 6 de fevereiro de 2006. Estabelece margem de preferência para produtos manufaturados e serviços nacionais, priorizando bens e serviços produzidos no País; critérios de apoio a projetos de ensino, pesquisa e extensão, e de desenvolvimento institucional, científico e tecnológico às Instituições Federais de Ensino Superior - IFES e às Instituições Científicas Tecnológicas - ICTs."
"MPV0496/10";"MPV0496/10";"EF";2,00;1;20/7/2010 00:00:00;15/12/2010 00:00:00;"TNJR";"SUB";"NA";12348;" Dispõe sobre o limite de endividamento de Municípios em operações de crédito destinadas ao financiamento de infraestrutura para a realização da Copa do Mundo FIFA 2014 e dos Jogos Olímpicos e Paraolímpicos de 2016, sobre imóveis oriundos da extinta Rede Ferroviária Federal S.A. - RFFSA, sobre dívidas referentes ao patrimônio imobiliário da União, sobre acordos envolvendo patrimônio imobiliário da União, transfere o domínio útil de imóveis para a Companhia Docas do Rio de Janeiro - CDRJ, e dá outras providências.  Altera a Medida Provisória nº 2.185-35, de 24 de agosto de 2001; as Leis nºs 9.711, de 20 de novembro de 1998; 11.483, de 31 de maio de 2007; 9.702, de 17 de novembro de 1998; 10.666, de 08 de maio de 2003; e revoga o § 2º do art. 1º da Lei nº 9.469, de 10 de julho de 1997."
"MPV0497/10";"MPV0497/10";"EF";2,00;1;28/7/2010 00:00:00;31/12/2010 00:00:00;"TNJR";"SUB";"PM";12350;"Promove desoneração tributária de subvenções governamentais destinadas ao fomento das atividades de pesquisa tecnológica e desenvolvimento de inovação tecnológica nas empresas, institui o Regime Especial de Tributação para construção, ampliação, reforma ou modernização de estádios de futebol - RECOM, e dá outras providências. Altera as Leis nºs 7.713, de 1988; 9.430, de 1996; 9.959, de 2000; 10.182, de 2001; 10.865, de 2004; 10.887, de 2004; 10.931, de 2004; 11.774, de 2008; 12.024, de 2009 e 12.058, de 2009 e os Decretos-lei nºs 37, de 1966 e 1.455, de 1976."
"MPV0498/10";"MPV0498/10";"EF";2,00;1;2/8/2010 00:00:00;26/11/2010 00:00:00;"TNJR";"PRO";"NA";12339;"Abre crédito extraordinário, em favor de diversos órgãos do Poder Executivo, no valor global de R$ 1.978.448.870,00, para os fins que especifica. Abertura, crédito extraordinário, Presidência da República, Ministério da Educação, Ministério da Justiça, Ministério da Saúde, Ministério dos Transportes, Ministério da Cultura, Ministério do Meio Ambiente, Ministério do Desenvolvimento Agrário, Ministério da Defesa, Ministério da Integração Nacional, MInistério do Desenvolvimento Social e Combate a Fome, Ministério das Cidades."
"MPV0499/10";"MPV0499/10";"EF";2,00;1;26/8/2010 00:00:00;30/12/2010 00:00:00;"TNJR";"SUB";"PM";12375;"Altera a Lei nº 10.683, de 28 de maio de 2003, transforma Funções Comissionadas Técnicas em cargos em comissão, altera as Leis nºs 8460, de 17 de setembro de 1992, e 11.526, de 4 de outubro de 2007"
"MPV0500/10";"MPV0500/10";"EF";2,00;1;31/8/2010 00:00:00;10/1/2011 00:00:00;"TNJR";"SUB";"NA";12380;"Autoriza a União e as entidades da administração pública federal indireta a contratar, reciprocamente, ou com fundo privado do qual seja o Tesouro Nacional cotista único a aquisição, alienação, cessão e permuta de ações, a cessão de créditos decorrentes de adiantamentos efetuados para futuro aumento de capital, a cessão de alocação prioritária de ações em ofertas públicas ou a cessão do direito de preferência para a subscrição de ações em aumentos de capital; autoriza a União a se abster de adquirir ações em aumentos de capital de empresas em que possua participação acionária, e dá outras providências."
"MPV0501/10";"MPV0501/10";"EF";2,00;1;8/9/2010 00:00:00;3/3/2011 00:00:00;"TNJR";"SUE";"PM";12385;"Dispõe sobre a prestação de auxílio financeiro pela União aos Estados, ao Distrito Federal e aos Municípios, no exercício de 2010, com o objetivo de fomentar as exportações do País; altera as Leis nº 12.087, de 11 de novembro de 2009, e nº 10.260, de 12 de julho de 2001; modifica condições para a concessão da subvenção em operações de financiamento de que trata o art. 1º da Lei nº 12.096, de 24 de novembro de 2009, que autoriza a concessão de subvenção econômica ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES, em operações de financiamento destinadas à aquisição e produção de bens de capital e à inovação tecnológica; e dá outras providências."
"MPV0502/10";"MPV0502/10";"EF";2,00;1;21/9/2010 00:00:00;24/2/2011 00:00:00;"TNJR";"SUE";"NA";12395;"Dá nova redação às Leis nºs 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto, e 10.891, de 9 de julho de 2004, que institui a Bolsa-Atleta; cria os Programas Atleta Pódio e Cidade Esportiva, e dá outras providências. A lei nº 10.891, de 9 de julho de 2004 cria as seguintes categorias de Bolsa-Atleta: Categoria Atleta de Base, Categoria Estudantil, Categoria Atleta Nacional, Categoria Atleta Internacional, Categoria Atleta Olímpico ou Paraolímpico e Categoria Atleta Pódio."
"MPV0503/10";"MPV0503/10";"EF";2,00;1;22/9/2010 00:00:00;21/3/2011 00:00:00;"TNJR";"SUB";"NA";12396;"Ratifica o Protocolo de Intenções firmado entre a União, o Estado do Rio de Janeiro e o Município do Rio de Janeiro, com a finalidade de constituir consórcio público, denominado Autoridade Pública Olímpica - APO."
"MPV0504/10";"MPV0504/10";"EF";2,00;1;22/9/2010 00:00:00;1/3/2011 00:00:00;"TNJR";"PRO";"NA";12383;"Dá nova redação ao art. 1º da Lei nº 5.851, de 7 de dezembro de 1972, que autoriza o Poder Executivo a instituir empresa pública, sob a denominação de Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA). A EMBRAPA poderá exercer qualquer das atividades integrantes de seu objeto social fora do território nacional, em conformidade com o que dispuser seu estatuto social."
"MPV0505/10";"MPV0505/10";"EF";2,00;1;27/9/2010 00:00:00;23/3/2011 00:00:00;"TNJR";"SUB";"NA";12397;"Constitui fonte de recursos adicional ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES."
"MPV0506/10";"MPV0506/10";"EF";2,00;1;29/9/2010 00:00:00;3/3/2011 00:00:00;"TNJR";"PRO";"NA";12384;"Abre crédito extraordinário, em favor do Ministério do Desenvolvimento Agrário, no valor de R$ 210.000.000,00, para o fim que especifica."
"MPV0507/10";"MPV0507/10";"EF";2,00;1;6/10/2010 00:00:00;17/3/2011 00:00:00;"SEFI";"NA";"NA";-1;"Institui hipóteses específicas de sanção disciplinar para a violação de sigilo fiscal e disciplina o instrumento de mandato que confere poderes a terceiros para praticar atos perante órgão da administração pública que impliquem fornecimento de dado protegido pelo sigilo fiscal."
"MPV0508/10";"MPV0508/10";"EF";2,00;1;11/10/2010 00:00:00;22/3/2011 00:00:00;"RJTD";"NA";"NA";-1;"Abre crédito extraordinário, em favor do Ministério da Educação, no valor de R$ 968.185.382,00, para os fins que especifica."
"MPV0509/10";"MPV0509/10";"EF";2,00;1;14/10/2010 00:00:00;7/4/2011 00:00:00;"TNJR";"SUB";"NA";12400;"Dá nova redação ao parágrafo único do art. 7º da Lei nº 11.668, de 2 de maio de 2008, que dispõe sobre o exercício da atividade de franquia postal. Prorroga o prazo para contratação de franquia postal até 11 de junho de 2011."
"MPV0510/10";"MPV0510/10";"EF";2,00;1;29/10/2010 00:00:00;2/5/2011 00:00:00;"TNJR";"SUB";"NA";12402;"Regula o cumprimento de obrigações tributárias por consórcios que realizem negócios jurídicos em nome próprio; dá nova redação ao art. 31 da Medida Provisória no 497, de 27 de julho de 2010, que promove desoneração tributária de subvenções governamentais destinadas ao fomento das atividades de pesquisa tecnológica e desenvolvimento de inovação tecnológica nas empresas e institui o Regime Especial de Tributação para construção, ampliação, reforma ou modernização de estádios de futebol - RECOM; acresce dispositivos à Lei no 10.168, de 29 de dezembro de 2000, que institui contribuição de intervenção de domínio econômico destinada a financiar o Programa de Estímulo à Interação Universidade-Empresa para o Apoio à Inovação; e dá outras providências."
"MPV0511/10";"MPV0511/10";"EF";2,00;1;22/11/2010 00:00:00;4/5/2011 00:00:00;"TNJR";"SUE";"NA";12404;"Dispõe sobre medidas para assegurar a sustentabilidade econômico-financeira do Banco Nacional de Desenvolvimento Econômico e Social - BNDES, sobre autorização para garantia do financiamento do Trem de Alta Velocidade - TAV, no trecho entre os Municípios do Rio de Janeiro - RJ e Campinas - SP, e dá outras providências."
"MPV0512/10";"MPV0512/10";"EF";2,00;1;26/11/2010 00:00:00;29/4/2011 00:00:00;"TNJR";"SUB";"PM";12407;"Altera a Lei nº 9.440, de 14 de março de 1997, que estabelece incentivos fiscais para o desenvolvimento regional e da indústria automotiva."
"MPV0513/10";"MPV0513/10";"EF";2,00;1;26/11/2010 00:00:00;26/5/2011 00:00:00;"TNJR";"SUB";"PM";12409;"Autoriza o Fundo de Compensação de Variações Salariais - FCVS a assumir, na forma disciplinada em ato do Conselho Curador do Fundo de Compensação de Variações Salariais - CCFCVS, direitos e obrigações do Seguro Habitacional do Sistema Financeiro da Habitação - SH/SFH, oferecer cobertura direta a contratos de financiamento habitacional averbados na Apólice do SH/SFH, autoriza o Departamento Nacional de Infraestrutura de Transporte - DNIT a utilizar recursos federais em apoio à transferência definitiva do domínio da malha rodoviária federal para os Estados, acresce o Porto do Pólo Industrial de Manaus no item 4.2 da Relação Descritiva dos Portos Marítimos, Fluviais e Lacustres, integrante do Anexo do Plano Nacional de Viação, aprovado pela Lei nº 5.917, de 10 de setembro de 1973, e dá outras providências. Altera as Leis nºs 12.249, de 11 de junho de 2010; 11.887, de 24 de dezembro de 2008; 11.079, de 30 de dezembro de 2004; 11.314, de 03 de julho de 2006; revoga o inciso IV do art. 3º da Lei nº 11.887, de 2008."
"MPV0514/10";"MPV0514/10";"EF";2,00;1;2/12/2010 00:00:00;17/6/2011 00:00:00;"TNJR";"SUB";"PM";12424;"Altera a Lei nº 11.977, de 7 de julho de 2009, que dispõe sobre o Programa Minha Casa, Minha Vida - PMCMV e a regularização fundiária de assentamentos localizados em áreas urbanas, as Leis nºs 10.188, de 12 de fevereiro de 2001, 6.015, de 31 de dezembro de 1973, 6.766, de 19 de dezembro de 1979, e 4.591, de 16 de dezembro de 1964, e dá outras providências. Revoga dispositivos das Lei nºs 11.977, de 7 de julho de 2009; 6.015, de 31 de dezembro de 1973; o art. 2º da Medida Provisória nº 2.197-43, de 24 de agosto de 2001 e a partir de 31 de dezembro de 2011, os arts. 5º e 12, o caput e o § 2º do art. 18 e o caput do art. 19 da Lei nº 11.977, de 7 de julho de 2009."
"MPV0581/12";"MPV0581/12";"EF";2,00;1;21/9/2012 00:00:00;3/4/2013 00:00:00;"TNJR";"SUB";"NA";12793;"Dispõe sobre o Fundo de Desenvolvimento do Centro-Oeste - FDCO; autoriza a União a conceder subvenção econômica às instituições financeiras oficiais federais, sob a forma de equalização de taxa de juros nas operações de crédito para investimentos no âmbito do FDCO; altera as Leis nº 7.827, de 27 de setembro de 1989, e nº 10.177, de 12 de janeiro de 2001, que tratam das operações com recursos dos Fundos Constitucionais de Financiamento do Norte, do Nordeste e do Centro-Oeste; constitui fonte adicional de recursos para ampliação de limites operacionais da Caixa Econômica Federal e do Banco do Brasil S.A., e dá outras providências."
"MPV0582/12";"MPV0582/12";"EF";2,00;1;21/9/2012 00:00:00;2/4/2013 00:00:00;"TNJR";"SUE";"PS";12794;"Altera a Lei nº 12.546, de 14 de dezembro de 2011, quanto à contribuição previdenciária de empresas dos setores industriais e de serviços; permite depreciação de bens de capital para apuração do Imposto de Renda; institui o Regime Especial de Incentivo ao Desenvolvimento da Infraestrutura da Indústria de Fertilizantes; altera a Lei nº 12.598, de 22 de março de 2012, quanto à abrangência do Regime Especial Tributário para a Indústria de Defesa; altera a incidência da Contribuição para o PIS/PASEP e da COFINS na comercialização da laranja; reduz o Imposto de Renda devido pelo prestador autônomo de transporte de carga; e dá outras providências."
"MPV0583/12";"MPV0583/12";"EF";2,00;1;10/10/2012 00:00:00;5/12/2012 00:00:00;"TNJR";"PRO";"NA";12739;"Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$ 676.000.000,00, para os fins que especifica."
"MPV0584/12";"MPV0584/12";"EF";2,00;1;10/10/2012 00:00:00;18/4/2013 00:00:00;"TNJR";"PRE";"PM";12780;"Dispõe sobre medidas tributárias referentes à realização, no Brasil, dos Jogos Olímpicos de 2016 e dos Jogos Paraolímpicos de 2016. RIO 2016."
